subtopic,question,answer
1.2.1,What are distributed and multi-user operating systems?,"Distributed: runs across multiple networked computers, sharing the workload as one system. Multi-user: lets several users share the machine's resources at once, managing CPU time and permissions (e.g. servers)."
1.2.1,What is the purpose of the BIOS?,"Firmware that runs first at start-up; it performs the POST (power-on self-test), initialises hardware, then loads the operating system into RAM."
1.2.1,What is a device driver?,"Software that allows the OS to communicate with and control a specific hardware device, translating generic OS commands into device-specific instructions."
1.2.1,"What is intermediate code, and why is it used?","Code halfway between source and machine code that is independent of any processor (e.g. bytecode); run by a virtual machine, giving portability (write once, run anywhere)."
1.2.2,What is the difference between application and utility software?,"Application software lets the user perform a specific real-world task (e.g. word processor); utility software maintains, configures or optimises the computer itself (e.g. antivirus, defragmenter)."
1.2.2,What is the difference between open source and closed source software?,"Open source: source code is available to view and modify, usually free, community support. Closed source: source code is hidden, usually paid, official vendor support, modification forbidden."
1.2.2,What is the role of an assembler?,"Translates assembly language into machine code, generally with a one-to-one relationship between mnemonic and machine-code instruction."
1.2.2,What is the difference between a compiler and an interpreter?,"A compiler translates high-level source into machine code all at once, producing a standalone executable; an interpreter translates and executes one line at a time at run time with no executable. Compiled programs run faster; interpreters report errors line by line (better for debugging)."
1.2.2,What are the four stages of compilation?,"Lexical analysis, syntax analysis (parsing), code generation, and (code) optimisation."
1.2.2,What happens in lexical and syntax analysis?,"Lexical: source code is broken into tokens, whitespace/comments removed, and a symbol table created. Syntax (parsing): tokens are checked against the language's grammar, a parse tree is built, and syntax errors are reported."
1.2.2,What happens in code generation and optimisation?,Code generation produces the object (machine) code from the parse tree and symbol table; optimisation refines it to run faster and/or use less memory while giving the same result.
1.2.2,What is a linker?,"Software that combines the compiled program with library and other separately compiled modules into a single executable, resolving references between them."
1.2.2,What is a loader?,Part of the OS that copies the executable from secondary storage into RAM and prepares it to run before execution begins.
1.2.2,What is a library (in programming)?,"A pre-written, pre-compiled and tested collection of subroutines/modules that programmers can reuse to save time and increase reliability."
1.2.3,Describe the waterfall methodology and when it is used.,"A linear, sequential model where each stage is completed before the next begins; best when requirements are well understood and fixed."
1.2.3,Describe the agile methodology and when it is used.,An umbrella of iterative approaches delivering working software in small frequent increments with continuous client feedback; best when requirements are likely to change.
1.2.3,Describe the spiral methodology and when it is used.,"An iterative model centred on risk analysis, tackling risky elements early through prototyping; best for large, expensive, high-risk projects."
1.2.3,Describe extreme programming (XP).,"An agile method emphasising code quality: pair programming, frequent small releases, test-driven development, and the customer as part of the team."
1.2.3,Describe rapid application development (RAD).,"Builds prototypes quickly and refines them through repeated user feedback; favours fast partial models, best when a system is needed quickly or requirements are vague."
1.2.3,List the five stages of the software development lifecycle.,"Analysis, design, development (implementation), testing, evaluation."
1.2.4,What is a procedural language?,"A language that executes ordered instructions using sequence, selection and iteration, organising code into reusable procedures/subroutines (e.g. Python, C)."
1.2.4,What is the Little Man Computer (LMC)?,"A simple teaching model of a CPU with a small instruction set, used to learn assembly language and the fetch-decode-execute cycle."
1.2.4,What do immediate and direct addressing mean?,Immediate: the operand is the actual value (e.g. ADD #5). Direct: the operand is the address that holds the value (e.g. ADD 20 adds the contents of address 20).
1.2.4,What do indirect and indexed addressing mean?,"Indirect: the operand gives an address that holds the address of the value (address of an address), used for pointers. Indexed: address = base address + contents of an index register, ideal for arrays."
1.2.4,"Define class, object, instantiation, attribute and method in OOP.",Class: a template defining a type's attributes and methods. Object: an instance of a class. Instantiation: creating an object from a class. Attribute: a variable holding an object's data. Method: a subroutine giving an object behaviour.
1.2.4,What is encapsulation?,Bundling attributes and methods together and hiding the data (private attributes accessed only through methods); makes code more robust and maintainable.
1.2.4,What is inheritance?,"A child (sub) class acquiring the attributes and methods of a parent (super) class, and being able to add or override its own; promotes code reuse."
1.2.4,What is polymorphism?,"The ability of methods to behave differently depending on the object, e.g. overriding an inherited method so Dog and Cat respond to makeSound() differently."
1.2.1,Application: Which OS type suits a washing machine and why?,"An embedded OS, because it is a dedicated device with limited resources needing a small, efficient OS stored in ROM to control one specific task reliably."
1.2.1,Application: Why is virtual memory slower than real RAM?,"Because it uses secondary storage (disk), which has much slower access times than RAM, and the OS must spend time swapping pages in and out."
1.2.2,Application: In which compilation stage is a missing bracket detected?,"Syntax analysis (parsing), where tokens are checked against the language's grammar/rules."
1.3.1,What is compression?,Reducing the size of a file so it uses less storage space and can be transmitted faster (using less bandwidth).
1.3.1,What is lossless compression?,Reducing file size with no permanent loss of data; the original file can be reconstructed exactly when decompressed.
1.3.1,What is lossy compression?,Reducing file size by permanently removing some data (often data the eye/ear is less sensitive to); the original cannot be reconstructed exactly.
1.3.1,Give a typical use of lossless compression.,"Text files, executable programs, spreadsheets, ZIP, PNG — anywhere detail cannot be lost."
1.3.1,Give a typical use of lossy compression.,"Images (JPEG), audio (MP3) and video, where small quality loss is acceptable for much smaller files."
1.3.1,What is run length encoding (RLE)?,A lossless technique that replaces runs (sequences of repeated identical values) with a single value and a count of how many times it repeats.
1.3.1,When is RLE most/least effective?,Most effective with long runs of repeated data (e.g. simple images); it can increase file size when data has few or no repeats.
1.3.1,Encode WWWBBWWWW using RLE.,"3W2B4W (value followed by run length, lossless)."
1.3.1,What is dictionary-based compression?,A lossless technique that stores recurring patterns/words once in a dictionary and replaces them in the file with a short reference (e.g. an index number).
1.3.1,Why must a dictionary be sent with dictionary-compressed data?,Because the references in the file have no meaning without the dictionary; it is needed to reconstruct the original data.
1.3.1,What is encryption?,"Scrambling data into unreadable ciphertext using an algorithm and a key, so only someone with the correct key can decrypt it back to plaintext."
1.3.1,What is symmetric encryption?,Encryption that uses the same single key to both encrypt and decrypt the data.
1.3.1,What is the key distribution problem?,In symmetric encryption the shared key must be exchanged securely; if it is intercepted during exchange the encryption is broken.
1.3.1,What is asymmetric encryption?,Encryption using a pair of mathematically related keys: a public key (shared openly) and a private key (kept secret).
1.3.1,How do public and private keys relate in asymmetric encryption?,Data encrypted with the public key can only be decrypted with the matching private key.
1.3.1,Give one advantage of asymmetric over symmetric encryption.,It solves the key distribution problem because the public key can be shared openly without compromising security.
1.3.1,Give one disadvantage of asymmetric encryption.,It is slower and more computationally expensive than symmetric encryption.
1.3.1,What is hashing?,Applying a hash function to an input to produce a fixed-length output (a hash/digest); it is one-way and deterministic.
1.3.1,What does it mean that hashing is 'one-way'?,You cannot feasibly reverse a hash back to the original input.
1.3.1,What is a hash collision?,When two different inputs produce the same hash value/output.
1.3.1,Give two uses of hashing.,"Storing passwords securely (store the hash, not the password) and hash tables for fast (close to O(1)) lookup."
1.3.1,Why store password hashes rather than passwords?,"If the database is stolen, attackers do not get the actual passwords; an entered password is hashed and compared to the stored hash."
1.3.1,Difference between hashing and encryption?,Encryption is reversible with a key; hashing is one-way and not designed to be reversed.
1.3.2,What is a flat file database?,A database held in a single table/file; it suffers from data redundancy and update/inconsistency anomalies.
1.3.2,What is a relational database?,"A database where data is split across multiple linked tables (using keys), reducing redundancy and improving consistency and scalability."
1.3.2,"Define entity, attribute and record.",Entity = a category of thing data is stored about (a table); attribute/field = a property/column; record/row/tuple = all data about one instance.
1.3.2,What is a primary key?,An attribute (or set of attributes) that uniquely identifies each record in a table.
1.3.2,What is a foreign key?,"An attribute in one table that is the primary key in another table, used to link the two tables."
1.3.2,What is a composite key?,"A primary key made up of two or more attributes combined, because no single attribute is unique on its own."
1.3.2,What is a secondary key?,An attribute used to allow records to be searched/indexed quickly even though it is not the primary key.
1.3.2,How is a many-to-many relationship resolved in a relational database?,"By introducing a linking (junction) table, typically with a composite key, creating two one-to-many relationships."
1.3.2,What is normalisation?,The process of organising data in a database to reduce redundancy and remove anomalies while keeping data consistent.
1.3.2,State the rule for 1NF.,No repeating groups; each field contains a single (atomic) value; there is a primary key.
1.3.2,State the rule for 2NF.,In 1NF and every non-key attribute depends on the whole primary key (remove partial dependencies — relevant with a composite key).
1.3.2,State the rule for 3NF.,In 2NF and no non-key (transitive) dependencies — no non-key attribute depends on another non-key attribute.
1.3.2,Summarise 3NF in one phrase.,"Every non-key attribute depends on 'the key, the whole key, and nothing but the key'."
1.3.2,What is referential integrity?,"Ensuring a foreign key value always refers to a valid existing primary key in the related table (or is null), preventing orphaned records."
1.3.2,What is a transaction?,A single logical operation made up of one or more steps that must all succeed or all fail together.
1.3.2,What do the letters ACID stand for?,"Atomicity, Consistency, Isolation, Durability — properties of a reliable transaction."
1.3.2,Explain Atomicity and Durability (ACID).,"Atomicity: the transaction is all-or-nothing; if any part fails it is rolled back. Durability: once committed it is permanently saved, even after a failure."
1.3.2,Explain Consistency and Isolation (ACID).,"Consistency: a transaction takes the database from one valid state to another without breaking rules. Isolation: concurrent transactions do not interfere, as if run one after another."
1.3.2,What is record locking?,"Locking a record while one transaction updates it so others cannot edit it at the same time, preventing the lost update problem (risk: deadlock)."
1.3.2,Name SQL keywords to retrieve and order data.,"SELECT (columns), FROM (table), WHERE (filter rows), ORDER BY ... ASC/DESC (sort)."
1.3.2,What does JOIN ... ON do in SQL?,Combines columns from related tables where a matching key value links them.
1.3.2,"Write SQL to add a record to Student (StudentID 5, Surname 'Lee').","INSERT INTO Student (StudentID, Surname) VALUES (5, 'Lee');"
1.3.3,What is the difference between a LAN and a WAN?,"A LAN covers a small area (one site, organisation-owned cabling); a WAN covers a large area using third-party infrastructure (the internet is the largest WAN)."
1.3.3,Star vs mesh topology?,"Star: all devices connect to a central node (fails if node fails). Mesh: devices interconnected with multiple paths, very resilient but expensive when wired."
1.3.3,Client-server vs peer-to-peer?,"Client-server: servers provide resources to clients (central control, single point of failure). P2P: devices have equal status and share directly (cheaper, harder to manage)."
1.3.3,What is packet switching?,Data is split into packets that are routed independently (possibly different routes) and reassembled in order at the destination; efficient and resilient.
1.3.3,What is circuit switching?,A dedicated physical path is reserved between sender and receiver for the whole communication; guarantees bandwidth but wastes capacity when idle.
1.3.3,What is DNS?,The Domain Name System: servers that translate human-readable domain names into the IP addresses computers use to locate each other.
1.3.3,Name the four layers of the TCP/IP stack.,"Application, Transport, Network/Internet, Link/Data link."
1.3.3,What does the Transport layer do?,"Splits data into packets, manages end-to-end delivery, error checking and reassembly, and adds port numbers (TCP/UDP)."
1.3.3,What does the Network/Internet layer do?,Adds source and destination IP addresses and routes packets across networks (IP).
1.3.3,What is the difference between a switch and a router?,A switch connects devices within a LAN using MAC addresses; a router connects different networks and routes packets using IP addresses.
1.3.3,What is a MAC address?,"A unique 48-bit physical hardware address assigned to a NIC, used at the link layer to identify devices on a local network."
1.3.3,Purpose of HTTP and HTTPS?,HTTP transfers web pages between server and browser; HTTPS is HTTP encrypted with TLS/SSL for secure web communication.
1.3.3,"Purpose of SMTP, POP3 and IMAP?","SMTP sends email; POP3 retrieves email (usually downloads and removes it from the server); IMAP retrieves email keeping it on the server, synced across devices."
1.3.3,What is a firewall?,Hardware/software that monitors and controls traffic entering/leaving a network against rules (packet filtering) to block unauthorised access.
1.3.3,What is a proxy server?,"An intermediary between clients and the internet that can hide users' IP addresses, cache pages and filter/log requests."
1.3.4,"What do HTML, CSS and JavaScript each do?",HTML defines structure/content; CSS defines presentation/style; JavaScript adds interactivity/behaviour (usually client-side).
1.3.4,What is the PageRank algorithm?,"An algorithm that ranks web pages by importance, mainly based on the number and importance of links pointing to them."
1.3.4,How does PageRank treat links from important vs many-linking pages?,A link from a high-PageRank page is worth more; a page linking to many pages spreads its vote thinly (rank divided by number of outgoing links).
1.3.4,What is client-side processing? Give a drawback.,"Code runs in the user's browser (e.g. JavaScript); fast feedback but can be viewed, disabled or bypassed, so it is not secure on its own."
1.3.4,What is server-side processing? Give a drawback.,"Code runs on the web server (e.g. PHP, database queries); secure and hidden but increases server load and adds network round-trip delay."
1.3.4,Application: why must payment validation be done server-side too?,"Client-side validation can be bypassed or disabled by the user, so security-critical checks must also be validated/processed server-side."
1.3.1,"Application: which compression for a legal document, and why?","Lossless — no data may be permanently lost, since corrupting a byte could change the document's meaning."
1.4.1,Name the five primitive data types in OCR H446,"Integer, real/float, character (char), string, Boolean"
1.4.1,How many bits in a nibble and a byte?,A nibble is 4 bits; a byte is 8 bits
1.4.1,What range does an 8-bit UNSIGNED integer have?,0 to 255 (2^8 - 1)
1.4.1,What range does an 8-bit TWO'S COMPLEMENT integer have?,-128 to +127
1.4.1,Why is hexadecimal used as a shorthand for binary?,"One hex digit maps exactly to 4 bits (a nibble), so it is a compact, lossless, error-resistant way to read/write binary; used in memory/MAC addresses and colour codes"
1.4.1,How do you negate a number in two's complement (find -x)?,Invert all the bits (one's complement) then add 1
1.4.1,"In two's complement, what does the MSB represent?",A NEGATIVE place value (e.g. -128 in 8 bits); if MSB = 1 the number is negative
1.4.1,How do you perform binary subtraction A - B?,Compute A + (-B) by adding the two's complement of B; discard any final carry out of the MSB
1.4.1,What is overflow?,"An error where the result of an operation is too large to fit in the available bits (in signed arithmetic, two same-sign numbers giving a wrong-sign result)"
1.4.1,What two parts make up a floating point number?,Mantissa (significand) x 2^exponent
1.4.1,What does the MANTISSA determine?,Precision / number of significant figures
1.4.1,What does the EXPONENT determine?,Range / magnitude (where the binary point goes)
1.4.1,How is a POSITIVE number normalised in floating point?,Mantissa starts 0.1... (a 0 sign bit followed by a 1)
1.4.1,How is a NEGATIVE number normalised in floating point?,Mantissa starts 1.0... (a 1 sign bit followed by a 0)
1.4.1,Why do we normalise floating point numbers?,"To remove wasted leading zeros/ones so the mantissa holds the maximum significant figures, giving maximum precision for the available bits"
1.4.1,State the range vs precision trade-off,With fixed total bits: more mantissa = more precision but less range; more exponent = more range but less precision. You cannot increase both
1.4.1,"When you move the binary point RIGHT during normalisation, what happens to the exponent?","It decreases by 1 for each place moved right (the mantissa is multiplied by 2, so the exponent must drop to keep the value the same)"
1.4.1,What is the effect of a LOGICAL SHIFT LEFT by n?,Multiplies by 2^n; zeros fill in from the right; bits shifted off the top are lost (can overflow)
1.4.1,What is the effect of a LOGICAL SHIFT RIGHT by n?,Divides by 2^n (integer division); zeros fill in from the left; bits shifted off the end are lost
1.4.1,What is an ARITHMETIC SHIFT RIGHT?,"Like a logical right shift but the SIGN BIT is preserved (copied in from the left), so it correctly divides a signed (two's complement) number by 2^n"
1.4.1,What does the bitwise AND operation do and what is it used for?,Output 1 only if both bits are 1; used for MASKING to keep selected bits
1.4.1,What does the bitwise XOR operation do?,"Output 1 if the bits differ; used to TOGGLE bits, simple encryption and checksums"
1.4.1,Describe ASCII,"Originally 7-bit (128 characters); extended ASCII uses 8 bits for 256. Codes are ordered: 'A'=65, 'a'=97, '0'=48"
1.4.1,Describe Unicode and its relation to ASCII,"Uses more bits (e.g. UTF-8, 1-4 bytes) to represent every language plus emoji/symbols; the first 128 codes match ASCII, so it is backward-compatible"
1.4.2,Compare static and dynamic data structures,"Static = fixed size at declaration, contiguous memory (e.g. array). Dynamic = grows/shrinks at run time, allocated from the heap (e.g. linked list)"
1.4.2,Define an array,"An ordered, fixed-size collection of elements of the SAME data type, accessed by index, stored contiguously giving O(1) random access"
1.4.2,How does a list differ from a tuple?,A list is mutable and can change size; a tuple is immutable (cannot be changed once created)
1.4.2,Define a linked list,"A dynamic structure of nodes, each holding data and a pointer to the next node; a head pointer marks the start and the last node's pointer is null"
1.4.2,Give one advantage and one disadvantage of a linked list,"Advantage: easy insertion/deletion by repointing pointers, grows dynamically. Disadvantage: no random access (must traverse from head); pointer storage overhead"
1.4.2,What does LIFO mean and which structure uses it?,"Last In, First Out - a STACK; push/pop at the top"
1.4.2,What does FIFO mean and which structure uses it?,"First In, First Out - a QUEUE; enqueue at the rear, dequeue at the front"
1.4.2,How does a circular queue reuse space?,"The rear (and front) wrap around using modulo arithmetic: rear = (rear + 1) MOD size, reusing slots freed by dequeuing"
1.4.2,What is a priority queue?,"A queue where each item has a priority and the highest-priority item is dequeued first, regardless of arrival order"
1.4.2,What is the ordering property of a binary search tree (BST)?,"For every node, all values in the left subtree are smaller and all in the right subtree are larger than the node"
1.4.2,Name the three BST traversals and what in-order gives,"Pre-order (root, left, right), In-order (left, root, right), Post-order (left, right, root); in-order visits a BST in ascending order"
1.4.2,What is a hash table and how does it achieve fast lookup?,"Stores key-value pairs in an array; a hash function converts a key to an array index (e.g. key MOD tableSize), giving near O(1) lookup/insert"
1.4.2,What is a collision and how is it resolved?,Two keys hashing to the same index; resolved by open addressing/linear probing (next free slot) or chaining (a linked list at each slot)
1.4.2,Compare an adjacency matrix and an adjacency list,"Matrix: 2D array, O(1) edge lookup, best for DENSE graphs but wastes space on sparse. List: each node stores its neighbours, memory-efficient, best for SPARSE graphs but slower edge checks"
1.4.3,State De Morgan's laws,"NOT(A.B) = NOT A + NOT B, and NOT(A+B) = NOT A . NOT B ('break the bar, change the sign')"
1.4.3,State the Boolean complement (inverse) laws,"A . NOT A = 0, and A + NOT A = 1"
1.4.3,What are the outputs of a HALF ADDER?,Sum = A XOR B; Carry = A AND B. It cannot accept a carry-in
1.4.3,What are the outputs of a FULL ADDER?,Sum = A XOR B XOR Cin; Cout = (A.B) + (Cin.(A XOR B)). It adds three bits and can be chained into a ripple-carry adder
1.4.3,What is a D-type flip-flop?,An edge-triggered 1-bit memory (sequential logic) element that stores the D input on the active clock edge and presents it at Q until the next clock edge; used in registers and counters
1.4.1,Convert 1101 0110 to hex,D6
1.4.1,Convert denary 172 to 8-bit binary,1010 1100
1.4.1,Convert binary 1010 1100 to hex,AC
1.4.1,What is 0000 0110 (6) after a logical shift left by 1?,0000 1100 (= 12)
1.5.1,What does the Data Protection Act 1998/2018 regulate?,"How organisations collect, store and process personal data about living individuals. It governs the data controller and data processor, and gives rights to the data subject. The 2018 Act brought UK law in line with the EU GDPR."
1.5.1,List the GDPR / DPA 2018 data-protection principles.,"Personal data must be: lawful, fair and transparent; collected for a specified purpose (purpose limitation); adequate but minimal (data minimisation); accurate and up to date; kept no longer than necessary (storage limitation); secure (integrity and confidentiality); and the controller must demonstrate compliance (accountability)."
1.5.1,Name three rights of a data subject under GDPR / DPA 2018.,Right to be informed; right of access (Subject Access Request); right to rectification; right to erasure (right to be forgotten); right to object to processing. (Any three.)
1.5.1,Who enforces the Data Protection Act and what penalties can they impose?,"The Information Commissioner's Office (ICO). Under GDPR it can fine up to €20 million or 4% of global annual turnover, whichever is greater."
1.5.1,Give an example of a Data Protection Act breach.,A company selling customer email addresses to advertisers without consent; a hospital losing a laptop with unencrypted patient records; a retailer keeping card details indefinitely with no need.
1.5.1,DPA exam nuance: is processing without explicit consent always a breach?,"No. Consent is only one of six lawful bases (others: contract, legal obligation, legitimate interests, vital interests, public task). If another lawful basis applies, processing without consent is not automatically a breach."
1.5.1,What does the Computer Misuse Act 1990 protect against?,Unauthorised access to computer systems — hacking and malware. It was passed after the R v Gold and Schifreen case showed existing law could not deal with hacking.
1.5.1,State the three offences under the Computer Misuse Act 1990.,1) Unauthorised access to computer material. 2) Unauthorised access with intent to commit or facilitate a further offence. 3) Unauthorised modification of computer material.
1.5.1,Give an example of each Computer Misuse Act offence.,"Offence 1: logging into a colleague's account / guessing a password. Offence 2: hacking a bank's system intending to steal money. Offence 3: spreading a virus or ransomware, or deleting a company's files."
1.5.1,Computer Misuse Act key principle: is it about damage or authorisation?,Authorisation. Simply accessing material you are not authorised to access is an offence (Offence 1) even if you change nothing. Intent and modification escalate the seriousness.
1.5.1,When does a scenario breach BOTH the CMA and the DPA?,When a hacker steals data (CMA Offence 2 — access with intent) from a company that stored it insecurely (DPA breach of integrity and confidentiality). Outsider hacking = CMA; the organisation mishandling data it holds = DPA.
