Wk,Week beginning,Topic,Homework,Consolidation (round-out + retrieval of prior topics)
10,16/11/26,1.3.1 Compression & encryption; 1.3.2 Databases intro (CAP2/KA4 fb),Homework 1.3.1; act on CAP2 feedback.,"RECAP CHECKPOINT 1 (1.1-1.2), timed & self-marked; Quiz 1.2.4."
11,23/11/26,1.3.2 Normalisation & SQL (file checks),Homework 1.3.2 (/20); SQL practice (End-of-Topic Worksheet 1.3 SQL tasks).,Quiz 1.3.1; Revision Notes 1.3.2; file-check prep.
12,30/11/26,"1.3.3 Networks, TCP/IP, hardware (RAD day 1)",Homework 1.3.3 (/20); redraw TCP/IP + topology diagrams (Diagram Bank).,Quiz 1.3.2; mixed Flashcards 1.1-1.3.
13,07/12/26,2.1.4 Thinking logically; 1.3.4 HTML/CSS/JS (CAP2 due 7 Dec),Homework 2.1.4 + Homework 1.3.4 Part A.,Quiz 1.3.3; Revision Notes 1.3.4 + 2.1.4.
14,14/12/26,"1.3.4 Server/client-side, PageRank; EOY quiz (4 days)",Finish Homework 1.3.4; prep EOY quiz with Organisers 1.1-1.3.,Quiz 1.3.4 + Quiz 2.1.4; Mini-Paper 1.2 timed.
Hol,21/12/26,CHRISTMAS,"RECAP CHECKPOINT 2 (1.1-1.3) over the break, plus one Mini-Paper of choice.","10 min/day flashcards, spaced - nothing heavy."
15,04/01/27,"1.4.1 Binary, negatives, add/subtract, hex",Homework 1.4.1 Part A + conversion drills (End-of-Topic Worksheet 1.4 sA).,Mark the holiday Recap 2; re-RAG weak topics on the PLC.
16,11/01/27,"1.4.1 Floating point, bitwise (KA5)",Floating-point drills (Worksheet 1.4 FP activities); prep KA5 with Reference Sheet.,Quiz 1.4.1 Section A; Revision Notes 1.4.1.
17,18/01/27,1.4.1 Character sets; 2.2.1 Constructs (KA5 fb; U6 mocks),Finish Homework 1.4.1; Homework 2.2.1 Part A; act on KA5 feedback.,Full Quiz 1.4.1; Flashcards 1.4 started.
18,25/01/27,1.4.2 Arrays to stacks/queues (CAP3/KA6),Homework 1.4.2 (/20); prep CAP3/KA6 with Organiser 1.4.,Quiz 2.2.1; stack/queue traces (Worksheet 1.4 sA); Workbook 2 stack/queue classes.
19,01/02/27,Review wk 2; 1.4.2 implementing (C3) (CAP3/KA6 fb),Implement linked list / stack / queue in Python (Workbook 2); file-check prep.,Quiz 1.4.2 (structures half); Mini-Paper 1.3 timed.
20,08/02/27,"1.4.2 Graphs, trees, hash tables (3 days; CAP3 due 8 Feb)",Finish Homework 1.4.2 wrong-answer redos; BST + hash table in Python (Workbook 2).,Full Quiz 1.4.2; Revision Notes 1.4.2.
HT,15/02/27,HALF TERM,Finish any data-structure implementation.,Flashcards 1.4 + one earlier Mini-Paper.
21,22/02/27,"1.4.3 Boolean logic, gates, truth tables (KA7)",Homework 1.4.3 Part A; prep KA7.,Quiz 1.4.3 Section A; truth-table drills (Worksheet 1.4 sA).
22,01/03/27,C3 PyGame sprites/sounds (KA7 fb),PyGame tasks; act on KA7 feedback.,Full Quiz 1.4.3; Flashcards 1.4.
23,08/03/27,"1.4.3 Karnaugh maps, simplification (Recap 1.2 slot)",Finish Homework 1.4.3; K-map + De Morgan drills (Worksheet 1.4 sA).,Mini-Paper 1.2 (SOW Recap-1.2 slot) + Organiser 1.2 cover-recall.
24,15/03/27,Review wk 3; CAP4/KA8; 2.1.5 Thinking concurrently (Recap 1.3 slot),Homework 2.1.5; prep CAP4/KA8 (cumulative 1.1-1.4 + 2.1).,"RECAP CHECKPOINT 3 (1.1-1.4), timed; Mini-Paper 1.3 for the SOW Recap-1.3 slot."
25,22/03/27,CAP4/KA8 fb; C3 PyGame (Recap 1.4 slot; 4 days; CAP4 due 22 Mar),PyGame workbook; act on CAP4/KA8 feedback.,Mini-Paper 1.4 (SOW Recap-1.4 slot) + Reference-Sheet number/logic drills.
Hol,29/03/27,EASTER,"Mock Paper 1 a section at a time, self-marked against its answer sheet.",Re-RAG the PLC; top up weakest subtopics with their quizzes.
26,12/04/27,C3 PyGame; Mock revision,Sit remaining Mock Paper 1 sections timed; error log.,Target weakest PLC rows with quizzes/organisers; Exam Technique + Command Words guides.
27,19/04/27,L6 MOCK WEEK (CAP5),Light: skim Glossary + Common Mistakes; rest.,(mock week)
28,26/04/27,C3 PyGame; mock feedback (file checks),Re-attempt your two weakest mock questions in full.,Flashcards on weakest topics; update PLC from mock results.
29,03/05/27,Mini-NEA: Analysis (4 days; CAP5 due 7 May),"NEA Template s1 Analysis: stakeholder, requirements, success criteria.",NEA Guide checklist - every criterion measurable; 10 min/day flashcards.
30,10/05/27,Mini-NEA: Analysis,Complete Analysis write-up (research evidence in).,Peer-review a partner's analysis vs the NEA checklist.
31,17/05/27,Mini-NEA: Design,"NEA Template s2: decomposition, algorithms, data structures, UI.",Check each design decision traces to a requirement.
32,24/05/27,Mini-NEA: Design,Complete s2 + test plan (typical/boundary/erroneous).,Review vs the Design checklist.
HT,31/05/27,HALF TERM,Finish the design so implementation starts clean.,Light flashcard retrieval.
33,07/06/27,Mini-NEA: Implementation,NEA Template s3: iterative build with annotated evidence + tests per iteration.,Keep the development log as you go.
34,14/06/27,Mini-NEA: Implementation (Review wk 4),Continue s3; add validation/robustness.,File-check prep - all code evidence annotated.
35,21/06/27,Mini-NEA: Evaluation,"NEA Template s4: test vs every success criterion, stakeholder feedback.",Map every evaluation point back to Analysis.
36,28/06/27,Mini-NEA: Evaluation (RAD day 3),Complete s4 + justified improvements.,Final NEA checklist; set VESPA targets for Year 13.
